"Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.053991,1,0.11467,0.11467,0.15,0
0.053991,1,0.115,0.115,0.15,0
0.053991,1,0.11533,0.11533,0.15,0
0.053991,1,0.11567,0.11567,0.15,0
0.053991,1,0.116,0.116,0.15,0
0.053991,1,0.11633,0.11633,0.15,0
0.0099606,1,0.11667,0.11667,0.15,0
0.0011483,1,0.117,0.117,0.15,0
0.0011483,1,0.11733,0.11733,0.15,0
0.0011483,1,0.11767,0.11767,0.15,0
0.0011483,1,0.118,0.118,0.15,0
0.0011483,1,0.11833,0.11833,0.15,0
0.0011483,1,0.11867,0.11867,0.15,0
0.0011483,1,0.119,0.119,0.15,0
0.0011483,1,0.11933,0.11933,0.15,0
0.0011483,1,0.11967,0.11967,0.15,0
0.0011483,1,0.12,0.12,0.15,0
0.0011483,1,0.12033,0.12033,0.15,0
0.0011483,1,0.12067,0.12067,0.15,0
0.0011483,1,0.121,0.121,0.15,0
0.0011483,1,0.12133,0.12133,0.15,0
0.0011483,1,0.12167,0.12167,0.15,0
0.0011483,1,0.122,0.122,0.15,0
0.0011483,1,0.12233,0.12233,0.15,0
0.0011483,1,0.12267,0.12267,0.15,0
0.0011483,1,0.123,0.123,0.15,0
0.0011483,1,0.12333,0.12333,0.15,0
0.0011483,1,0.12367,0.12367,0.15,0
0.0011483,1,0.124,0.124,0.15,0
0.0011483,1,0.12433,0.12433,0.15,0
0.0011483,1,0.12467,0.12467,0.15,0
0.0011483,1,0.125,0.125,0.15,0
0.0011483,1,0.12533,0.12533,0.15,0
0.0011483,1,0.12567,0.12567,0.15,0
0.0011483,1,0.126,0.126,0.15,0
0.0011483,1,0.12633,0.12633,0.15,0
0.0011483,1,0.12667,0.12667,0.15,0
0.0011483,1,0.127,0.127,0.15,0
0.0011483,1,0.12733,0.12733,0.15,0
0.0011483,1,0.12767,0.12767,0.15,0
0.0011483,1,0.128,0.128,0.15,0
0.0011483,1,0.12833,0.12833,0.15,0
0.0011483,1,0.12867,0.12867,0.15,0
0.0011483,1,0.129,0.129,0.15,0
0.0011483,1,0.12933,0.12933,0.15,0
0.0011483,1,0.12967,0.12967,0.15,0
0.0011483,1,0.13,0.13,0.15,0
0.0011483,1,0.13033,0.13033,0.15,0
0.0011483,1,0.13067,0.13067,0.15,0
0.0011483,1,0.131,0.131,0.15,0
0.0011483,1,0.13133,0.13133,0.15,0
0.0011483,1,0.13167,0.13167,0.15,0
0.0011483,1,0.132,0.132,0.15,0
0.0011483,1,0.13233,0.13233,0.15,0
0.0011483,1,0.13267,0.13267,0.15,0
0.0011483,1,0.133,0.133,0.15,0
-0.021283,1,0.13333,0.13333,0.15,0
-0.021283,1,0.13367,0.13367,0.15,0
-0.021283,1,0.134,0.134,0.15,0
-0.021283,1,0.13433,0.13433,0.15,0
-0.021283,1,0.13467,0.13467,0.15,0
-0.021283,1,0.135,0.135,0.15,0
-0.021283,1,0.13533,0.13533,0.15,0
-0.021283,1,0.13567,0.13567,0.15,0
-0.021283,1,0.136,0.136,0.15,0
-0.021283,1,0.13633,0.13633,0.15,0
-0.021283,1,0.13667,0.13667,0.15,0
-0.021283,1,0.137,0.137,0.15,0
-0.021283,1,0.13733,0.13733,0.15,0
-0.021283,1,0.13767,0.13767,0.15,0
-0.021283,1,0.138,0.138,0.15,0
-0.021283,1,0.13833,0.13833,0.15,0
-0.021283,1,0.13867,0.13867,0.15,0
-0.021283,1,0.139,0.139,0.15,0
-0.021283,1,0.13933,0.13933,0.15,0
-0.021283,1,0.13967,0.13967,0.15,0
-0.021283,1,0.14,0.14,0.15,0
-0.021283,1,0.14033,0.14033,0.15,0
-0.021283,1,0.14067,0.14067,0.15,0
-0.021283,1,0.141,0.141,0.15,0
-0.021283,1,0.14133,0.14133,0.15,0
-0.021283,1,0.14167,0.14167,0.15,0
-0.021283,1,0.142,0.142,0.15,0
-0.021283,1,0.14233,0.14233,0.15,0
-0.021283,1,0.14267,0.14267,0.15,0
-0.021283,1,0.143,0.143,0.15,0
-0.021283,1,0.14333,0.14333,0.15,0
-0.021283,1,0.14367,0.14367,0.15,0
-0.021283,1,0.144,0.144,0.15,0
-0.021283,1,0.14433,0.14433,0.15,0
-0.021283,1,0.14467,0.14467,0.15,0
-0.021283,1,0.145,0.145,0.15,0
-0.021283,1,0.14533,0.14533,0.15,0
-0.021283,1,0.14567,0.14567,0.15,0
-0.021283,1,0.146,0.146,0.15,0
-0.021283,1,0.14633,0.14633,0.15,0
-0.021283,1,0.14667,0.14667,0.15,0
-0.021283,1,0.147,0.147,0.15,0
-0.021283,1,0.14733,0.14733,0.15,0
-0.021283,1,0.14767,0.14767,0.15,0
-0.021283,1,0.148,0.148,0.15,0
-0.021283,1,0.14833,0.14833,0.15,0
-0.021283,1,0.14867,0.14867,0.15,0
-0.021283,1,0.149,0.149,0.15,0
-0.021283,1,0.14933,0.14933,0.15,0
-0.021283,1,0.14967,0.14967,0.15,0
-0.048903,1,0.15,0.15,0.15,0
-0.049283,1,0.15033,0.15033,0.15,0
-0.049283,1,0.15067,0.15067,0.15,0
-0.049283,1,0.151,0.151,0.15,0
